+---------------------------------------------------------------------+---------+----------+
|                                                                     |   axis  |  class   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_20.tif | (11,20) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_21.tif | (11,21) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_22.tif | (11,22) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_23.tif | (11,23) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_24.tif | (11,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_25.tif | (11,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_26.tif | (11,26) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_27.tif | (11,27) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_28.tif | (11,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_29.tif | (11,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_3.tif |  (11,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_30.tif | (11,30) | farmland |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_31.tif | (11,31) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_4.tif |  (11,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_5.tif |  (11,5) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_6.tif |  (11,6) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_7.tif |  (11,7) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_8.tif |  (11,8) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_9.tif |  (11,9) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_0.tif |  (12,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_1.tif |  (12,1) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_10.tif | (12,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_11.tif | (12,11) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_12.tif | (12,12) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_13.tif | (12,13) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_14.tif | (12,14) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_15.tif | (12,15) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_16.tif | (12,16) | farmland |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_17.tif | (12,17) | farmland |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_18.tif | (12,18) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_19.tif | (12,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_2.tif |  (12,2) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_20.tif | (12,20) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_21.tif | (12,21) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_22.tif | (12,22) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_23.tif | (12,23) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_24.tif | (12,24) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_25.tif | (12,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_26.tif | (12,26) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_27.tif | (12,27) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_28.tif | (12,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_29.tif | (12,29) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_3.tif |  (12,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_30.tif | (12,30) | farmland |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_31.tif | (12,31) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_4.tif |  (12,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_5.tif |  (12,5) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_6.tif |  (12,6) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_7.tif |  (12,7) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_8.tif |  (12,8) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_12_9.tif |  (12,9) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_0.tif |  (13,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_1.tif |  (13,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_10.tif | (13,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_11.tif | (13,11) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_12.tif | (13,12) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_13.tif | (13,13) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_14.tif | (13,14) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_15.tif | (13,15) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_16.tif | (13,16) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_17.tif | (13,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_18.tif | (13,18) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_19.tif | (13,19) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_2.tif |  (13,2) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_20.tif | (13,20) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_21.tif | (13,21) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_22.tif | (13,22) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_23.tif | (13,23) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_24.tif | (13,24) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_25.tif | (13,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_26.tif | (13,26) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_27.tif | (13,27) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_28.tif | (13,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_29.tif | (13,29) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_3.tif |  (13,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_30.tif | (13,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_31.tif | (13,31) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_4.tif |  (13,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_5.tif |  (13,5) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_6.tif |  (13,6) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_7.tif |  (13,7) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_8.tif |  (13,8) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_13_9.tif |  (13,9) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_0.tif |  (14,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_1.tif |  (14,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_10.tif | (14,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_11.tif | (14,11) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_12.tif | (14,12) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_13.tif | (14,13) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_14.tif | (14,14) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_15.tif | (14,15) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_16.tif | (14,16) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_17.tif | (14,17) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_18.tif | (14,18) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_19.tif | (14,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_2.tif |  (14,2) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_20.tif | (14,20) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_21.tif | (14,21) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_22.tif | (14,22) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_23.tif | (14,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_24.tif | (14,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_25.tif | (14,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_26.tif | (14,26) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_27.tif | (14,27) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_28.tif | (14,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_29.tif | (14,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_3.tif |  (14,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_30.tif | (14,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_31.tif | (14,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_4.tif |  (14,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_5.tif |  (14,5) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_6.tif |  (14,6) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_7.tif |  (14,7) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_8.tif |  (14,8) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_14_9.tif |  (14,9) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_0.tif |  (15,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_1.tif |  (15,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_10.tif | (15,10) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_11.tif | (15,11) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_12.tif | (15,12) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_13.tif | (15,13) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_14.tif | (15,14) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_15.tif | (15,15) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_16.tif | (15,16) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_17.tif | (15,17) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_18.tif | (15,18) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_19.tif | (15,19) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_2.tif |  (15,2) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_20.tif | (15,20) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_21.tif | (15,21) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_22.tif | (15,22) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_23.tif | (15,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_24.tif | (15,24) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_25.tif | (15,25) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_26.tif | (15,26) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_27.tif | (15,27) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_28.tif | (15,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_29.tif | (15,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_3.tif |  (15,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_30.tif | (15,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_31.tif | (15,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_4.tif |  (15,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_5.tif |  (15,5) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_6.tif |  (15,6) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_7.tif |  (15,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_8.tif |  (15,8) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_15_9.tif |  (15,9) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_0.tif |  (16,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_1.tif |  (16,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_10.tif | (16,10) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_11.tif | (16,11) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_12.tif | (16,12) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_13.tif | (16,13) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_14.tif | (16,14) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_15.tif | (16,15) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_16.tif | (16,16) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_17.tif | (16,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_18.tif | (16,18) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_19.tif | (16,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_2.tif |  (16,2) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_20.tif | (16,20) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_21.tif | (16,21) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_22.tif | (16,22) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_23.tif | (16,23) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_24.tif | (16,24) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_25.tif | (16,25) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_26.tif | (16,26) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_27.tif | (16,27) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_28.tif | (16,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_29.tif | (16,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_3.tif |  (16,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_30.tif | (16,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_31.tif | (16,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_4.tif |  (16,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_5.tif |  (16,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_6.tif |  (16,6) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_7.tif |  (16,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_8.tif |  (16,8) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_16_9.tif |  (16,9) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_0.tif |  (17,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_1.tif |  (17,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_10.tif | (17,10) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_11.tif | (17,11) |  meadow  |
